"Point.Forecast"
149,369537484378
149,988178965494
147,606532023604
155,015701600388
159,264423435846
158,088031598564
151,392290598662
155,281851123859
158,192804732054
159,703426935143
159,983899862062
161,560468193294
161,123546154408
158,592922163295
155,990689228805
156,367723573166
157,135201491565
157,05700441548
155,99811237027
155,802306408564
155,854229432161
155,039870958724
155,24849322874
155,570186522281
157,008292944356
157,585587394717
161,493367673074
165,501501966077
168,176645928714
169,910822571239
170,842570936674
171,048597604155
171,872724602896
252,420364920647
251,863364117648
247,045830704478
248,167151383829
253,005866560608
249,630952043506
251,162500935927
252,776778634006
252,411330686306
251,770004512753
252,373566143178
250,120601462431
250,802603195408
251,228909421815
251,247717488677
251,293537514576
249,626609898579
251,096103286353
248,942303833813
248,467794740924
250,715672383022
251,165921621734
253,428425832378
251,056850462259
251,293840491054
252,604298863341
253,615728280176
262,988198949862
253,960379206845
260,908129505646
261,83884262311
254,759308120407
252,443691538275
255,108274821614
255,896877694102
256,55064062869
256,241755154015
255,165223643075
277,642024806377
305,268949205839
303,014586061301
302,063733007368
304,888708367364
303,181950258978
301,744836815024
301,418085451504
301,056126917819
301,175328896658
299,78748137644
295,010292054505
296,747357148885
297,478451595262
294,773677222632
296,572351986098
296,720396287432
294,417281110427
292,358316950984
291,602961483095
290,014589388061
290,670691040101
209,256213453679
208,935677388858
165,516424776458
